,camera,date,hour,zone,person,car,bicycle,motorcycle,truck,dog
267,1,02-12-2021,6,0,0,0,0,0,0,0
268,1,02-12-2021,6,1,0,0,0,0,0,0
269,1,02-12-2021,6,2,0,4,0,0,0,0
270,1,02-12-2021,5,0,0,0,0,0,0,0
271,1,02-12-2021,5,1,0,0,0,0,0,0
272,1,02-12-2021,5,2,0,1,0,0,0,0
273,1,02-12-2021,4,0,0,0,0,0,0,0
274,1,02-12-2021,4,1,0,0,0,0,0,0
275,1,02-12-2021,4,2,0,0,0,0,0,0
276,1,02-12-2021,3,0,0,0,0,0,0,0
277,1,02-12-2021,3,1,0,0,0,0,0,0
278,1,02-12-2021,3,2,0,0,0,0,0,0
279,1,02-12-2021,2,0,0,0,0,0,0,0
280,1,02-12-2021,2,1,0,0,0,0,0,0
281,1,02-12-2021,2,2,0,6,0,0,0,0
282,1,02-12-2021,1,0,0,0,0,0,0,0
283,1,02-12-2021,1,1,0,0,0,0,0,0
284,1,02-12-2021,1,2,0,7,0,0,0,0
285,1,02-12-2021,0,0,0,0,0,0,0,0
286,1,02-12-2021,0,1,2,0,0,0,0,0
287,1,02-12-2021,0,2,0,10,0,0,0,0
288,1,01-12-2021,23,0,0,0,0,0,0,0
289,1,01-12-2021,23,1,1,0,0,0,0,0
290,1,01-12-2021,23,2,0,25,0,0,0,0
291,1,01-12-2021,22,0,0,1,0,0,0,0
292,1,01-12-2021,22,1,0,0,0,0,0,0
293,1,01-12-2021,22,2,0,54,0,0,0,0
294,1,01-12-2021,21,0,0,1,0,0,0,0
295,1,01-12-2021,21,1,8,0,0,0,0,0
296,1,01-12-2021,21,2,0,71,0,0,0,0
297,1,01-12-2021,20,0,0,2,0,0,0,0
298,1,01-12-2021,20,1,0,0,0,0,0,0
299,1,01-12-2021,20,2,0,56,0,0,0,0
300,1,01-12-2021,19,0,1,0,0,0,0,0
301,1,01-12-2021,19,1,5,0,0,0,0,0
302,1,01-12-2021,19,2,0,88,0,0,0,0
303,1,01-12-2021,18,0,29,0,0,0,0,0
304,1,01-12-2021,18,1,0,0,0,0,0,0
305,1,01-12-2021,18,2,0,273,0,0,1,0
306,1,01-12-2021,17,0,242,0,0,0,0,0
307,1,01-12-2021,17,1,40,0,0,0,0,0
308,1,01-12-2021,17,2,0,150,0,0,5,0
309,1,01-12-2021,16,0,98,0,0,0,0,0
310,1,01-12-2021,16,1,33,0,0,0,0,0
311,1,01-12-2021,16,2,0,144,0,0,1,0
312,1,01-12-2021,15,0,50,0,0,0,0,0
313,1,01-12-2021,15,1,8,0,0,0,0,0
314,1,01-12-2021,15,2,0,68,0,0,3,0
315,1,01-12-2021,14,0,88,0,0,0,0,0
316,1,01-12-2021,14,1,2,0,0,0,0,0
317,1,01-12-2021,14,2,0,112,0,0,4,0
318,1,01-12-2021,13,0,85,0,0,0,0,0
319,1,01-12-2021,13,1,9,0,0,0,0,0
320,1,01-12-2021,13,2,0,169,0,0,4,0
321,1,01-12-2021,12,0,0,0,0,0,0,0
322,1,01-12-2021,12,1,0,0,0,0,0,0
323,1,01-12-2021,12,2,0,146,0,0,2,0
324,1,01-12-2021,11,0,13,0,0,0,0,0
325,1,01-12-2021,11,1,0,0,0,0,0,0
326,1,01-12-2021,11,2,0,78,0,0,1,0
327,1,01-12-2021,10,0,95,0,0,0,0,0
328,1,01-12-2021,10,1,18,0,0,0,0,0
329,1,01-12-2021,10,2,0,138,0,0,0,0
330,1,01-12-2021,9,0,0,0,0,0,0,0
331,1,01-12-2021,9,1,0,0,0,0,0,0
332,1,01-12-2021,9,2,0,26,0,0,0,0
333,1,01-12-2021,8,0,2,0,0,0,0,0
334,1,01-12-2021,8,1,1,0,0,0,0,0
335,1,01-12-2021,8,2,0,9,0,0,0,0
